Name,Image_URL,Description,Role,Difficulty,Strength,Description_Length,Predicted_Strength
Jhin,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Jhin_0.jpg,"Jhin est un psychopathe méticuleux pour qui le meurtre est une forme d'art. Autrefois prisonnier de Ionia, mais libéré par des conspirateurs opérant au sein du conseil dirigeant du pays, ce tueur en série a désormais mis ses talents d'assassin au...",Tireur / Mage,Modérée,Strong,249,Strong
Jinx,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Jinx_0.jpg,"Criminelle hystérique et impulsive de Zaun, Jinx ne vit que pour semer le chaos sans se préoccuper des conséquences. Équipée d'un arsenal d'armes mortelles, elle déchaîne les explosions les plus spectaculaires en ne laissant dans son sillage que...",Tireur,Modérée,Strong,248,Strong
K'Santé,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/KSante_0.jpg,"Rebelle et courageux, K'Santé combat les bêtes colossales et les Transfigurés impitoyables qui menacent son foyer convoité de Nazumah, une oasis lovée au cœur des sables de Shurima. Après s'être séparé de son ancien partenaire, K'Santé comprend que pour...",Tank / Combattant,Élevée,Strong,256,Weak
Kai'Sa,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Kaisa_0.jpg,"Capturée par le Néant alors qu'elle n'était qu'une enfant, Kai'Sa parvint à survivre par la simple force de sa détermination et de sa ténacité. Si ses expériences ont fait d'elle une chasseuse meurtrière, certains voient en elle l'avant-goût d'un avenir...",Tireur,Modérée,Strong,256,Weak
Kalista,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Kalista_0.jpg,"Spectre courroucé des Îles obscures, Kalista est l'esprit immortel de la vengeance, un cauchemar en armure que l'on invoque pour pourchasser les traîtres et les menteurs. Les victimes trahies peuvent réclamer vengeance, mais Kalista ne répond qu'à ceux...",Tireur,Modérée,Weak,255,Weak
Karma,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Karma_0.jpg,Aucun mortel n'incarne mieux que Karma les traditions spirituelles d'Ionia. Elle est l'hôte vivant d'une âme ancienne réincarnée à de multiples reprises. Elle contient tous les souvenirs accumulés au fil de ces vies et elle possède une puissance que peu...,Mage / Support,Modérée,Weak,256,Weak
Karthus,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Karthus_0.jpg,"Héraut de l'oubli, Karthus est un esprit immortel dont les chants ensorcelants préludent à l'horreur de son apparition. Les vivants craignent l'existence éternelle des morts-vivants, mais Karthus n'y voit que beauté et pureté, une union parfaite de la...",Mage,Modérée,Strong,254,Strong
Kassadin,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Kassadin_0.jpg,"Kassadin se fraye un chemin brûlant dans les lieux les plus sombres du monde ; il sait que ses jours sont comptés. Guide et aventurier shurimien accompli, il avait choisi de fonder une famille parmi les tribus pacifiques du sud, jusqu'au jour où son...",Assassin / Mage,Élevée,Weak,252,Strong
Katarina,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Katarina_0.jpg,"Aussi prompte dans ses décisions qu'elle est meurtrière en combat, Katarina figure parmi les assassins les plus prestigieux de Noxus. Fille aînée du légendaire général Du Couteau, elle révéla bien vite ses talents en éliminant ses ennemis avec la plus...",Assassin / Mage,Élevée,Strong,254,Strong
Kayle,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Kayle_0.jpg,"Née d'une Manifestation targonienne au plus fort des Guerres runiques, Kayle honore l'héritage de sa mère en combattant pour la justice, portée par des ailes de feu divin. Elle et sa sœur jumelle Morgana ont longtemps été les protectrices de Demacia...",Combattant / Support,Modérée,Strong,252,Strong
Kayn,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Kayn_0.jpg,"Expert inégalé dans la pratique de la magie des ombres, Shieda Kayn combat pour accomplir sa véritable destinée : mener un jour l'Ordre de l'ombre vers une ère nouvelle où Ionia régnera en maître. Il manie Rhaast, une arme darkin douée de raison, sans...",Combattant / Assassin,Élevée,Weak,254,Strong
Kennen,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Kennen_0.jpg,"Vif comme l'éclair, Kennen est plus que le simple protecteur de l'équilibre ionien, c'est aussi le seul yordle membre du Kinkou. En dépit de son allure de boule de poils, il est prêt à affronter n'importe quelle menace dans un tourbillon de shurikens et...",Mage / Tireur,Modérée,Weak,256,Weak
Kha'Zix,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Khazix_0.jpg,"Le Néant grandit et le Néant s'adapte : parmi ses nombreuses engeances, nul n'incarne mieux cette vérité que Kha'Zix. Ce monstre est né pour survivre et pour tuer les plus forts. Quand il ne parvient pas à ses fins, il évolue et se crée de nouveaux...",Assassin,Modérée,Strong,251,Strong
Kindred,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Kindred_0.jpg,"Kindred représente les essences jumelles de la mort, distinctes mais indissociables. La flèche d'Agneau offre une fin rapide à ceux qui acceptent leur destin. Loup pourchasse ceux qui fuient leur dernier soupir et leur arrache brutalement la vie à coups...",Tireur,Modérée,Strong,256,Weak
Kled,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Kled_0.jpg,"Guerrier aussi intrépide que grincheux, Kled est la plus pure incarnation de la fureur de Noxus. C'est un symbole que les soldats de l'empire adorent, dont les officiers se méfient et que la noblesse déteste. Beaucoup affirment que Kled a participé à...",Combattant / Tank,Modérée,Weak,253,Weak
Kog'Maw,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/KogMaw_0.jpg,"Émanant d'une brèche ouverte vers le Néant, c'est dans les ruines hantées d'Icathia que Kog'Maw, la putride créature à la gueule béante, et son insatiable curiosité firent leur apparition. Cette étrange bête du Néant doit mâchouiller tout ce qui se...",Tireur / Mage,Modérée,Strong,251,Strong
LeBlanc,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Leblanc_0.jpg,"Mystérieuse, même aux yeux des autres membres de la Rose noire, LeBlanc n'est que l'un des nombreux noms de la femme pâle qui manipule le destin de Noxus depuis ses premiers jours. Utilisant sa magie pour se cloner, elle peut être partout, devant tout...",Assassin / Mage,Élevée,Strong,254,Strong
Lee Sin,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/LeeSin_0.jpg,"Maître des antiques arts martiaux d'Ionia, Lee Sin est un combattant dévoué à de nobles principes qui canalise l'esprit du dragon pour affronter tous les défis. Bien qu'il ait perdu la vue il y a bien des années, le moine-guerrier a dédié sa vie à la...",Combattant / Assassin,Modérée,Strong,253,Weak
Leona,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Leona_0.jpg,"Imprégnée de l'énergie du soleil, Leona est une guerrière sainte des Solaris qui défend le Mont Targon ; elle combat avec sa Lame du zénith et son Bouclier de l'aube. Sa peau brûle d'éclats ardents et ses yeux crépitent au rythme de la Manifestation...",Tank / Support,Modérée,Strong,252,Strong
Lillia,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Lillia_0.jpg,"Profondément timide, Lillia, le faon féérique, parcourt nerveusement les forêts d'Ionia. Échappant toujours au regard des mortels dont la nature a longtemps captivé et intimidé la jeune créature, Lillia espère découvrir la raison pour laquelle les rêves...",Combattant / Mage,Élevée,Weak,256,Weak
Lissandra,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Lissandra_0.jpg,"La magie de Lissandra est capable de manipuler la pure puissance de la glace en quelque chose d'à la fois obscur et terrible. Avec la force de sa glace noire, elle fait bien plus que glacer... elle empale et écrase ceux qui osent s'opposer à elle. Les...",Mage,Modérée,Strong,254,Strong
Lucian,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Lucian_0.jpg,"Jadis une Sentinelle de la lumière, Lucian est aujourd'hui un chasseur de morts-vivants. Il poursuit ses cibles sans répit et les éradique avec ses pistolets jumeaux. Après que Thresh a tué Senna, sa femme, Lucian s'est lancé sur la voie de la vengeance...",Tireur,Modérée,Strong,256,Weak
Lulu,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Lulu_0.jpg,"Magicienne yordle, Lulu aime conjurer des illusions oniriques et de drôles de créatures en explorant Runeterra avec Pix, sa fée de compagnie. Lulu forge la réalité selon ses désirs, modifiant à sa guise la structure du monde et ce qu'elle considère...",Support / Mage,Modérée,Strong,251,Strong
Lux,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Lux_0.jpg,"Luxanna Crownguard est originaire de Demacia, un royaume isolationniste où la magie inspire la peur et la méfiance. Capable de plier la lumière à sa volonté, elle a grandi dans la crainte d'être un jour exilée et a été contrainte de dissimuler son...",Mage / Support,Modérée,Strong,250,Strong
Malphite,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Malphite_0.jpg,"Massive créature de pierre vivante, Malphite lutte pour imposer un ordre sacré dans un monde chaotique. Né pour servir l'obélisque mystique que l'on nomme le Monolithe, il utilisa son incroyable force élémentaire pour protéger son créateur, mais n'y...",Tank / Combattant,Faible,Weak,252,Weak
Malzahar,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Malzahar_0.jpg,"Voyant fanatique ayant dédié son existence à l'unification de toute forme de vie, Malzahar croit fermement que le Néant est la voie du salut de Runeterra. Dans les étendues désertiques de Shurima, il suivit les voix qui murmuraient dans son esprit...",Mage / Assassin,Modérée,Weak,250,Strong
Maokai,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Maokai_0.jpg,"Maokai est un immense tréant possédé par la colère, qui combat les horreurs impies des Îles obscures. Il est devenu l'incarnation de la vengeance après la destruction de ses terres par un cataclysme magique, n'échappant lui-même à l'état de mort-vivant...",Tank / Mage,Faible,Strong,255,Strong
Maître Yi,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/MasterYi_0.jpg,"Maître Yi a renforcé son corps et affûté son esprit jusqu'à ce que réflexion et action ne fassent plus qu'un. Bien qu'il ne fasse appel à la violence qu'en dernier recours, la grâce et la vitesse avec lesquelles il manie son épée assurent une résolution...",Assassin / Combattant,Modérée,Weak,256,Weak
